question1,question1_senti,question2,question2_senti,diff_senti,Corelation_API,Corelation_tfidf,is_duplicate
Is growing of hair a physical or a chemical change?,0.733347449,Can a bald person ever grow their hair back?,0.5,0.233347449,0.579469673,0.361408401,0
What is the difference between culture and history?,0.5,How is chili different between cultures?,0.5,0,0.58740974,0.459628553,0
What does it mean when a guy says I like you?,0.5,"What does it mean when a guy says ""Be safe""?",0.5,0,0.935315604,0.770611659,0
"What makes a programmer ""good?""",0.84976759,What makes a good programmer great?,0.917056262,0.067288672,0.932298471,0.829505687,1
What will most likely cause World War III?,0.216649432,Is World War III imminent?,0.239422252,0.02277282,0.816531138,0.610592564,0
Is civil war likely after the US presidential election?,0.289753674,Is the US at risk of some type of uprising after the election?,0.5,0.210246326,0.857287471,0.257759044,1
Which European country is the best for asylum seekers?,0.944473762,What are the best countries for whistleblowers to seek asylum?,0.918597463,0.025876299,0.856639224,0.438101242,0
Where and how do the crop circles get generated?,0.5,What are crop circles?,0.5,0,0.870549823,0.824771059,1
Will baking soda help pass a urine test?,0.853005063,How does baking soda help you pass a drug test?,0.858934914,0.005929851,0.809474038,0.808557608,1
What is Zika virus and how is it transmitted?,0.314798781,How is Zika virus spread?,0.766406387,0.451607606,0.890768721,0.659464227,1
What is the best way to learn algebra by yourself?,0.942686072,How do you learn algebra 1 fast?,0.270097905,0.672588167,0.936755077,0.72880319,1
How does it feel to retake a class in college?,0.5,Does retaking subjects in college affect future job prospects?,0.5,0,0.692029575,0.528666135,0
Does Google Display Network require any site to have it SEO (on-page and off-page optimized) first before they can proceed with GDN? Is this possible?,0.5,How can I get my name off the first page on Google search?,0.75658975,0.25658975,0.630413836,0.387301192,0
"How hard is it to fake appearing ""spiritual"" in a Christian community?",0.031038251,Why did the Battle of Agincourt happen? How does it compare to the Battle of Edge Hill?,0.048219979,0.017181728,0.617927052,0,0
What is an actinomorphic flower?,0.5,Flowers: What is vaijanti?,0.5,0,0.767791048,0.330788038,0
What is the best place for sex?,0.959602636,What is the best place to have sex from?,0.954435792,0.005166844,0.986737361,1,1
Do people with anemia die younger?,0.145310567,Does anemia increase irritability?,0.5,0.354689433,0.655845437,0.47403038,0
"How do you feel about the new MacBook Pro, late 2016?",0.089365574,Should I get the new Macbook Pro?,0.5,0.410634426,0.865412209,0.698244226,1
Does covering your head while sleeping cause brain damage?,0.5,Does binge drinking cause long term brain damage?,0.5,0,0.578621701,0.45546733,0
What are the major differences between Chinese culture and western cultures?,0.5,What is the difference between Chinese and western culture?,0.5,0,0.89410294,0.891048998,1
What are scraping techniques?,0.5,What are some good free web scrapers / scraping techniques?,0.977426975,0.477426975,0.82699537,0.604192028,1
I am 29Y old. I have diabetic Type 2. Recently my sugar level was increased to 150 (fasting). I do exercise and eat whole grains. why this happening?,0.234235782,Where can I find the best Security Cameras?,0.965281161,0.731045379,0.20411192,0,0
Is it healthy to eat egg whites every day?,0.919843397,Is it healthy to eat one chicken every day?,0.904015925,0.015827472,0.888365314,0.627951455,1
What words rank the highest on Dictionary.com's difficulty index?,0.325078899,Can Hindi words get a place in the Oxford dictionary?,0.5,0.174921101,0.538278487,0.331147275,0
Why can't I feel remorse or empathy at all?,0.029967466,Why do I not feel remorse?,0.060506661,0.030539195,0.931694925,0.77620144,0
How many minutes of cardio a day should I do?,0.764705319,How many minutes of yoga can be done in a day?,0.5,0.264705319,0.766096459,0.494896747,0
Why is my dog biting me?,0.031526298,Why did my dog bite me?,0.178139146,0.146612848,0.922289434,1,0
How can I treat a severe foot sprain?,0.158082391,How can I get a severe foot sprain?,0.084560085,0.073522306,0.922104165,0.894882735,0
How can a severe crick in the neck be treated?,0.208575907,What are some symptoms of a severe crick in the neck?,0.10855976,0.100016147,0.900251956,0.825571841,0
What are the best places to recommend foreigners to visit in Nepal?,0.995102031,What are the best places to visit in Nepal?,0.9497861,0.045315931,0.93879648,0.784617049,1
"Who do I activate the dlc of skyrim in a laptop? Ive got it working on my computer after doing the command lines, but did the same on laptop, to no use..",0.5,I'm tired of the laptops Ive bought getting old and slow after 2ish years. Do desktops degrade as quickly? Will getting a solid state drive laptop/desktop help increase its longevity?,0.203573151,0.296426849,0.766267057,0.23864023,0
How should I prepare for HSBC GLT placement tests?,0.5,"Which company should I choose, HSBC (GLT) or Cybage Software?",0.5,0,0.746263383,0.58462998,0
Did any Indian writers/authors ever use a pen name?,0.5,"How badly did Donald Trump miscalculate his run would have on his ""brand"" value?",0.133083248,0.366916752,0.687171392,0,0
How do I register institute providing training in various programming languages for vocational courses as it will exempt it from the service tax?,0.898195539,How much marks should I score in SSC cpo to get Delhi police?,0.5,0.398195539,0.499916143,0,0
How imminent is world war III?,0.238456673,Are we heading toward World War 3?,0.804707006,0.566250333,0.78222868,0.31674259,1
How do you write a song?,0.78720781,How do I write a song?,0.78720781,0,0.964208571,1,1
What could be Narendra Modi's next move after demonetization?,0.5,What is next step after demonetization?,0.5,0,0.705026496,0.505166349,1
"If you have me, you want to share me. If you share me, you haven't got me. What am I?",0.784237826,"If you have me, you want to share me. If you share me, you don't get me. What am I?",0.876732879,0.092495053,0.997097395,0.739636287,1
"What is an interesting fact that you know and I don't, but shouldn't?",0.226970844,What is the most interesting fact that most people don't know about?,0.833734716,0.606763872,0.92487031,0.764164657,1
What is the problem with controlled fusion?,0.206954934,Why haven't we developed a fusion reactor capable of generating more energy than it consumes? What are the problems we face?,0.143420444,0.06353449,0.732033786,0.41576224,0
Where do I find 3ds emulator for android?,0.5,Is there a working Nintendo 3DS emulator for PC?,0.5,0,0.690694503,0.61215941,1
"I want to start my clothes boutique in India, from where can I buy cheap wholesale clothes?",0.8011814,Where can I buy cheap clothes in bulk?,0.850603834,0.049422434,0.862175413,0.569143362,0
How can I become a true computer science engineer?,0.901236956,How do I become a good computer science engineer?,0.847198001,0.054038955,0.95983049,0.791795515,1
Is it necessary to unlock bootloader before rooting Android phones?,0.5,How ClockWorkMod works for phones NOT having bootloader unlocked?,0.158859522,0.341140478,0.818854031,0.549257928,0
What is bss engineer?,0.5,Is it right option from being Android Developer to become Translator after 3 years in software development field?,0.5,0,0.523408876,0,0
Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,0.028095798,How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,0.247795125,0.219699327,0.336974304,0,0
What can you do in lucid dreams?,0.891226535,How was your experience of Lucid dreaming?,0.914078007,0.022851472,0.911007358,0.85584321,1
What does it feel like to be beautiful?,0.744585187,What does it feel like to be attractive and desired by many?,0.947322221,0.202737034,0.881886265,0.339491811,0
Is it possible to do CA after 12th Science?,0.5,What should be done further to apply for Ph.D fellowship from a government institution if I have cleared TIFR GS 2016 written test?,0.845262216,0.345262216,0.465774959,0,0
How can I hack someones whatsapp account?,0.278022461,How can I hack another WhatsApp account?,0.207492522,0.070529939,0.953632736,0.772160165,1
What is it like to study math at UCLA?,0.5,Could USC buy UCLA?,0.5,0,0.657508529,0.47832621,0
What is the best lesson in life?,0.95312472,What is the most important lesson you have learned from life?,0.926178352,0.026946368,0.909296771,0.741413632,1
What are some Interesting mobile apps?,0.953381038,What are the best mobile apps for recruiters?,0.920005937,0.033375101,0.85016849,0.596616302,0
How will Trump's presidency affect Indian students who are planning to do a PhD in the US?,0.5,How would Trump presidency affect Indian students in the US?,0.5,0,0.95472678,0.783967546,1
What are the various Batman movies in the series? (In order),0.5,What is the order of the Batman: Arkham games?,0.5,0,0.790453815,0.426089532,0
What are the best daily life hacks one can use to make his life easy?,0.924644851,What are the hacks in daily life?,0.5,0.424644851,0.868833358,0.724682907,1
How much weight will I lose by not eating for a week?,0.04725449,How much weight do I lose by purging after every time I eat?,0.060882083,0.013627593,0.890447323,0.519430686,0
What is your favourite anime character and why?,0.900826863,What is your favorite anime character? And why?,0.898899542,0.001927321,0.981515799,0.650516386,1
How do ATM machines work internally?,0.5,How does ATM transaction work?,0.5,0,0.80315828,0.560049847,0
How many Mechanical Engineers graduate from India per year?,0.5,How many mechanical engineers graduate per year in India?,0.5,0,0.998538685,1,1
How do I start a successful private equity firm?,0.986091304,What do you need to start your own private equity firm?,0.857734331,0.128356973,0.910670418,0.851172055,1
What are most underrated date activities?,0.5,What is the most underrated activity?,0.5,0,0.902989858,0.865553313,0
What are some common facts every mechanical engineer should know?,0.5,What should all mechanical engineering students know?,0.5,0,0.878101253,0.553226707,0
What can be the medium budget to visit best places in Kerala for three members (2-3 days)?,0.936708479,What are the best places to visit in Kerala for college students?,0.917166617,0.019541862,0.814822259,0.475577529,1
"Why is Quora Digest filled with questions about Google, IQ, and China?",0.738195691,Why are there so many questions about IQ questions on Quora?,0.303946526,0.434249165,0.832296194,0.495120475,0
How would you destroy the world?,0.732989082,How can I destroy the world?,0.773139985,0.040150903,0.930818784,0.958401213,0
How can I earn money from YouTube?,0.5,How do I make money through YouTube?,0.5,0,0.924281955,0.672541078,1
What are the differences between particles and molecules?,0.5,How can I entirely turn off syntax highlighting in Sublime Text for Golang?,0.876265363,0.376265363,0.367556736,0,0
"On Facebook, how can I add mutual friends?",0.5,Can I see an ordered list of the people with whom I share the most mutual friends on Facebook?,0.99289265,0.49289265,0.878525857,0.565509066,0
"What is Russian president Vladmir Putin like as a person, to his closest friends and family?",0.791146148,"When did Putin become a public person, and what was his ""rise to fame"" like?",0.5,0.291146148,0.842263342,0.276719559,0
How do I start writing again?,0.5,How do I start writing?,0.5,0,0.957862683,1,0
If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?,0.5,How did the Big Bang happen when there wasn't any time for it to happen in?,0.234601691,0.265398309,0.883163857,0.642226025,1
How does it feel to be in a relationship than being single and how does our life changes when we are in a relationship?,0.5,Why do I want to stay single all my life after my breakup? Why do I feel like I am done with this serious relationship thing?,0.040183379,0.459816621,0.755894097,0.503919285,0
How can I start civil service exam preparation from scratch?,0.5,When should I start preparing for the civil service exam?,0.5,0,0.874803403,0.834965787,1
What are the non-invasive blood glucose monitoring systems abroad?,0.780442623,What are the non-invasive blood glucose monitoring systems in India?,0.797042194,0.016599571,0.863629034,0.912083653,0
What is the difference in pleasure between masturbation and sex?,0.938739632,What is the difference between sex and masturbation when it comes to pleasure?,0.5,0.438739632,0.959501924,0.918092479,1
"What does ""the more things change the more they stay the same"" mean?",0.5,Why do some people believe that life ends at death?,0.259236447,0.240763553,0.774907476,0,0
How do I start a solar energy business in egypt?,0.924933137,How do I start solar energy business?,0.915177355,0.009755782,0.945908783,0.80643605,0
"Can my PC with specs 2 GB DDR2@ RAM, Intel Core Duo 3.5 GHz, NVidia GeForce GT 610 3gb DDR3 run Assassin's Creed Syndicate and GTA V?",0.5,Does web Methods has future after 5 to 10 years from now?,0.5,0,0.172730827,0,0
Do you have any psychic abilities?,0.5,Do you have psychic power?,0.5,0,0.911170256,0.65701481,1
How do I manage time for studies?,0.5,How do you manage time between work and study?,0.5,0,0.942455703,0.893042368,0
What is the academic calendar at XLRI?,0.5,Is it possible to give usmele step 1 after 8 years of gap?,0.5,0,0.376480934,0,0
What is your take on Urjit Patel as the new RBI governor?,0.5,Is Urjit Patel is right person for RBI Governor?,0.5,0,0.848616861,0.849467176,1
Why do you want to be to president?,0.185797123,Would you want to be President?,0.5,0.314202877,0.972751876,1,0
Why India does not have friendly relations with it's neighbouring countries?,0.184694467,How are India's relations with the U.S.A.?,0.5,0.315305533,0.769801343,0.512154701,0
Do Trump voters care that he has reneged all his campaign promises?,0.907867357,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,0.773386846,0.134480511,0.863593496,0.372072259,1
"Can I learn while sleeping? If so, how?",0.5,How can I efficiently learn while sleeping?,0.902506648,0.402506648,0.917144118,0.75063796,1
Can you play Asian Playstation 4 games on a European Playstation?,0.85558551,Can you play Asian Playstation 4 games on a European Playstation 4?,0.85558551,0,1,1,0
How do I stop being addicted to porn?,0.039575464,How can I stop watching porn?,0.173280445,0.133704981,0.866623293,0.62239385,1
"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?",0.140250394,"Why did the UK have bad living standards in the 70s/80s, but better now?",0.050234794,0.0900156,0.791481195,0.362859581,0
How do I work with machine learning researchers after graduation?,0.5,How can undergraduate help with machine learning research?,0.956793538,0.456793538,0.869592922,0.579512634,0
What is the future for iOS Developers?,0.5,"As of 2015, what is the future of iOS development?",0.5,0,0.922045268,0.846900084,0
What is the meaning of life? Whats our purpose on Earth?,0.5,What do you feel is the purpose of life?,0.5,0,0.819088459,0.602579463,1
How do I be a boyfriend?,0.723779823,How does a girl get a boyfriend?,0.5,0.223779823,0.889974386,0.721076589,0
How is time travel possible?,0.5,Do you think time travel is possible?,0.5,0,0.821601255,0.883286921,1
How can one get a fuller face?,0.5,How do I do to get fuller face?,0.5,0,0.928246694,0.939075584,1
Is it too late for me at the age of 25 thinking to start a career in photography?,0.168148962,I want to start my career as a photographer at age of 25. Is it too late?,0.5,0.331851038,0.928142587,0.691028956,1
What’s the best time to have sex?,0.969582099,When will the best time for having sex?,0.958290508,0.011291591,0.85094543,0.887397062,1
Can we weld steel and aluminum together?,0.5,Why can't steel and aluminum be welded together?,0.186229825,0.313770175,0.89234742,1,0
Which YouTube video has the highest like/dislike ratio?,0.5,How is it possible for a YouTube video to have more likes/dislikes than views?,0.5,0,0.739411643,0.631779496,0
What is solution to Kashmir issue?,0.773462939,Is it possible for the Sharif government to resolve the conflicts in Kashmir?,0.126852298,0.646610641,0.785527647,0.242650479,0
"If you dug a hole through the earth, and came out the other side what would happen?",0.5,If I dug a huge hole in the ground in a straight line what would happen when I reach the opposite side of the Earth? Would my head or my feet come out first?,0.990920466,0.490920466,0.929923415,0.537946378,0
Can we create free energy?,0.99443188,How do we make free energy?,0.925877933,0.068553947,0.856567323,0.70560324,1
What should I do for Web design?,0.76074318,What Is Web Design?,0.5,0.26074318,0.90485824,1,0
What's the funniest highbrow joke you've ever heard?,0.906118297,What are the funniest jokes / stories you ever heard?,0.989981923,0.083863626,0.909113719,0.667894058,1
How do I find the phenotypic ratio?,0.5,What is a phenotype ratio?,0.5,0,0.783961279,0.936923848,0
Why does Saturn benefit a house it sits in slowly?,0.724689348,Why does time seem to pass so slowly when you are in a boring lecture?,0.009703699,0.714985649,0.779689524,0.238846362,0
Who is the most academically qualified Bollywood celebrity?,0.907264636,Which bollywood celebrity has his/her own jet?,0.5,0.407264636,0.731055101,0.502982658,0
"Is there a difference in quality between wired and wireless headphones? If so, why?",0.5,What are the differences between having BOSE headphones in the ear and around the ear?,0.5,0,0.544694075,0.250669671,0
What are some movies that everyone needs to watch at least once in life?,0.5,What movies would you recommend everyone to watch?,0.958663516,0.458663516,0.906153076,0.598301651,1
Can World War 3 ever take place?,0.288289191,Is World War 3 more imminent than expected?,0.202521045,0.085768146,0.819889066,0.345102401,1
How can eating prunes help during a constipation?,0.899449376,Does eating prunes help with constipation?,0.826189949,0.073259427,0.959140307,0.986627134,1
You have given all statement as correct in UNCCD question in CSE prelim 2016. While many coachings have taken 2nd statement as wrong.?,0.747389815,Have you ever been told any condescending statement by your elders to prove their point in question ?,0.5,0.247389815,0.739551948,0.225263972,0
What would be today’s technology had we never realized the value of binary numbers and harnessed it to produce digital technology?,0.760819695,Would the world be less technologically advanced if the two world wars had never occurred?,0.208093195,0.5527265,0.677131325,0.237128629,0
What is the best way to invest in oil and natural gas?,0.982623229,What is the minimum investment If I want to buy oil and gas royalties?,0.5,0.482623229,0.829042031,0.51577701,0
Is Arnab Goswami pro-BJP?,0.5,Are Quorans supportive of Modi?,0.904060703,0.404060703,0.154922466,0,0
What are some good sources for learning NuGet?,0.840242006,What is a good source to learn mathematica?,0.875982827,0.035740821,0.774781797,0.378023046,0
How would do you describe a person with lots of interests?,0.5,What are some examples of how to describe a person in a positive light?,0.965047283,0.465047283,0.766751877,0.441684559,0
Is it possible to turn off indicator light on a dahua camera?,0.5,What happens when you fly into a country but they refuse you entry?,0.078759448,0.421240552,0.420555767,0,0
Why is Barack Obama so important for the world?,0.80800642,Why is Barack Obama so important to the world?,0.797362824,0.010643596,0.999490269,1,1
What is the reason Pakistan supports terrorism?,0.757692947,Has Pakistan become a safe haven for global terrorism?,0.771669085,0.013976138,0.789279963,0.454562775,1
How do I can stop hairfall?,0.135382912,How can I stop hairfall?,0.175353457,0.039970545,0.975027575,1,1
"In your opinion, what is the best classical song of all time?",0.969415327,What's the best classical music piece of all time?,0.925716508,0.043698819,0.863955451,0.501696135,1
What are some unusual aspects about politics and government in Hungary?,0.283492922,What are some unusual aspects about politics and government in Singapore?,0.283492922,0,0.948198415,0.719982533,0
What is the aim?,0.72277458,What is the aim of science?,0.5,0.22277458,0.958830209,0.818445108,0
How should I respond to my boss who fired me via email?,0.201996516,Is it okay to fire someone via email?,0.895295717,0.693299201,0.791597387,0.593916741,0
What are cheap and budget stay options in North Goa?,0.798104766,What are some nice budget places to stay in Goa?,0.942971079,0.144866313,0.851452713,0.572182351,0
Is there any other website similar to Quora?,0.5,Are there any website like Quora?,0.5,0,0.966386847,0.63347596,1
What are the conditions in European refugee camps?,0.5,How are the conditions inside European Refugee Camps?,0.5,0,0.94893726,0.912325443,1
"What is the opposite of ""homebird""?",0.5,What is the opposite of take off?,0.5,0,0.844445804,0.468864819,0
How do you know that your fiance loves you?,0.966250861,What are the things that you love the most about your fiance?,0.781468477,0.184782384,0.946848135,0.834744969,0
Can somebody explain to me how to do this problem with steps?,0.208786584,Can somebody explain to me how to do with steps this little problem?,0.849699562,0.640912978,0.985115694,0.891466687,0
How do I develop my presence of mind?,0.5,How can I increase my presence of mind?,0.917563054,0.417563054,0.929437777,0.740762529,1
Mathematical Fallacies: What is wrong in this proof that 2+2 = 5?,0.074194962,How would mathematics change had 2 plus 2 been equal to 5?,0.5,0.425805038,0.495086836,0.234985993,0
Will it help CIBIL score if I pay off my written-off amount?,0.834844848,Does my CIBIL score gets impacted if I only pay the minimum due amount?,0.183446551,0.651398297,0.887698818,0.644887167,0
Should the Hobbit be considered a canonical Tolkien work?,0.5,"What is the proper, canonical spelling of Middle-earth in Tolkien's works?",0.5,0,0.814901694,0.537046723,0
What do Japanese think about Malaysian?,0.5,What do Malaysians think about indians?,0.5,0,0.893041595,0.785191514,0
Is the Har Ki Dun trek easy?,0.5,Can I take 10 month baby to base camp of Har ki dun trek?,0.5,0,0.75595925,0.742533662,0
What are the good websites to learn C programming for begineer?,0.812581952,How can we learn c programming?,0.5,0.312581952,0.859565175,0.530150336,1
Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?,0.965316449,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,0.994757323,0.029440874,0.914035954,0.560773507,1
"If the United States has a female president, will her husband be called the first gentleman? What will Bill Clinton be called if Hillary is elected?",0.900329554,"If a single woman were elected President of the United States, would she have a First Lady or First Gentleman?",0.89291644,0.007413114,0.876285077,0.4912477,0
How can I get MOOC/E-learning through online web and video courses related to filmmaking & production developed by Indian professors?,0.848758193,How can I get MOOCs/E-learning through online web and video courses related to photography developed by Indian professors?,0.856919122,0.008160929,0.968521605,0.802576569,0
Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,0.987734756,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?",0.988334182,0.000599426,0.937266403,0.835254389,0
Why do people hate twilight saga?,0.016273998,Why do people hate Twilight so much?,0.017287244,0.001013246,0.936378319,0.743765147,1
Do you believe imperialism left a positive or negative legacy in the Indian subcontinent and in Africa?,0.849892426,Stepping into corporate life from being a student. How does that feel?,0.5,0.349892426,0.548535644,0,0
Why is C the best programming language?,0.887792708,"Lua and C, which one is the best programming language for embedded systems?",0.914673303,0.026880595,0.793459513,0.460507779,0
How can I improve my spoken English ability?,0.900117458,How can I improve my English speaking .?,0.938151767,0.038034309,0.94043777,0.453085792,1
How can I have gay sex?,0.5,How can I be gay and dislike gay sex?,0.082950354,0.417049646,0.939792839,0.842559222,0
I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?,0.5,"I am in tenth grade at a high school in Ontario, Canada. I would really love to do an exchange with a student from Europe. Any ideas on how I can go about doing this?",0.748669898,0.248669898,0.780913774,0.165839401,0
How do I make money with YouTube?,0.5,How do I make money through YouTube?,0.5,0,0.99395588,1,1
How do I find love in life?,0.776037717,How do I find the love of my life?,0.766104796,0.009932921,0.971090736,1,1
"Which option is better to reduce weight, swimming or gym?",0.889535869,"Is it possible to burn 1000 calories each day? If yes, how?",0.818322206,0.071213663,0.52732921,0,0
Is there any way to get rid of gynecomastia?,0.5,How can I get rid of man boobs?,0.193388504,0.306611496,0.775191932,0.280642729,1
Which payment gateway in Saudi that using to collect and pay money from/to multiple ?,0.257108354,"Which are all the stress free, relatively easy to get jobs in India that pay a decent sum of money and allow you to pursue other interests?",0.809755621,0.552647267,0.670868836,0.127441711,0
Are there any scientific reasons behind Hindu temples?,0.5,What is the scientific reason behind visiting temples?,0.5,0,0.89078343,0.803582228,1
Is (male) circumcision required in Islam?,0.5,Is circumcision allowed in Islam?,0.5,0,0.903272091,0.687547943,0
Where can I get super high quality photos for any photo booth services in Sydney?,0.841894377,Where can I get professional photo booths service in Sydney?,0.810716377,0.031178,0.854467216,0.734439516,1
How can I find out whom I sent a friend request to on Instagram?,0.886435995,How do you send a friend request on Instagram?,0.951054453,0.064618458,0.916464277,0.652347733,0
How can I control on my anger?,0.5,How can someone control their anger?,0.5,0,0.88876822,0.902735216,1
What are genders?,0.5,What is Gender Profiling?,0.5,0,0.711410551,0.764575771,0
How do I get off Quora?,0.5,How do get out of Quora?,0.5,0,0.955015051,1,1
How long can raw and cooked sausage last refrigerated?,0.134819513,How long does onigiri last if left refrigerated? How can it be kept longer?,0.246767242,0.111947729,0.517505006,0.350782697,0
What are the best available smartphones gadgets?,0.992674539,What are some of the best smartphones technology gadgets?,0.950052132,0.042622407,0.980119838,0.739590481,1
How does it feel to be a closeted gay in India?,0.5,How does it feel to be homosexual in India?,0.5,0,0.931481706,0.299728694,1
Can we switch roles at Amazon?,0.5,How important is the role of TPM at Amazon?,0.938743906,0.438743906,0.712818297,0.455483247,0
What happens if dictatorship is continuing in the present days?,0.5,What happens if a dictatorship continues in the present day?,0.5,0,0.975610263,1,1
What makes a great cup of coffee great?,0.963789924,What makes a perfect cup of coffee?,0.937200406,0.026589518,0.859170638,0.574784794,1
Is the US election rigged?,0.5,Was the US election rigged?,0.5,0,0.983587138,1,1
Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?,0.788982372,"Is Gayle Laakmann McDowell planning on publishing any more books? If so, what is she working on?",0.5,0.288982372,0.65907102,0.577515287,0
What is fermentation? What are some products of fermentation?,0.5,What are some fermented products?,0.5,0,0.850255933,0.969870092,0
"What do you think about my short film, ""ColorShift""?",0.723187051,What do you think about my short film?,0.723187051,0,0.984705863,0.635246718,0
Should there be a war between India and Pakistan for Kashmir?,0.253623433,Why is there a conflict between India and Pakistan on Kashmir?,0.121100055,0.132523378,0.946212874,0.71282894,0
What is the best way to get you food stamp card?,0.905771379,How can I get food stamps in college?,0.5,0.405771379,0.861399643,0.716181666,0
"What are some real world example of encapsulation and abstraction and how are they different, yet related?",0.5,What are some examples of recursion in the real world?,0.5,0,0.791756192,0.341282452,0
What are ways to deal with fabricate security and insurance of android application?,0.904096372,How do find best applications for android security?,0.944619767,0.040523395,0.86856512,0.542971652,0
What is the best accordion for beginners to learn on?,0.954881867,How difficult would it be to learn how to play the accordion if I know how to play the piano?,0.827732331,0.127149536,0.820862808,0.528781152,0
Role of junior leaders in Indian army?,0.5,What is the role of the Indian army?,0.5,0,0.817962869,0.698769162,0
What's your opinion about the decision on removal of 500 and 1000 rupees currency notes?,0.5,What is the use of demonetizing Rs. 500 & Rs. 1000 notes?,0.5,0,0.636078605,0.287228633,1
What are some of the most mind-blowing facts about Bengaluru?,0.5,What are some interesting facts about Bengaluru?,0.964782127,0.464782127,0.966648719,0.671389326,1
"If both the parents have blood group B+, can the child have A+?",0.5,If both my parents have blood group B+ can I be A+?,0.5,0,0.923657126,0.870048543,0
Which book is best for Neet chemistry?,0.930111138,Which is the best book for chemistry for NEET?,0.921491231,0.008619907,0.99865031,1,1
What is the essence of enlightenment?,0.5,What is enlightenment?,0.5,0,0.944901246,0.654983921,0
Why are so many questions posted to Quora that are so easily answered by using Google?,0.933031871,Why do many Quora users ask questions they could look up online?,0.247668639,0.685363232,0.89707786,0.323720568,1
How should I answer if an interviewer asks me to sell a pen or any other product as I am pursuing a MBA?,0.5,What should be the answer if your interviewer asks you to sell his pen in front of him?,0.5,0,0.880808527,0.702323526,0
What are some great side dishes for a minestrone soup?,0.975774209,"68.44% of product passes the process spec.To pass, the product must be close to average. How many standard deviations away does 68.44% represent?",0.5,0.475774209,0.304443844,0,0
How much is the maximum gold you can take when flying from India to USA?,0.876511054,Why don't we fly east to go from India to USA?,0.146604021,0.729907033,0.742180417,0.43828184,0
"If my reservation status is RAC, does it mean the seat has been confirmed?",0.5,"My family tickets have changed from RAC to CNF (Confirmed), will all of us have adjacent seats? After preparation of charts?",0.5,0,0.655339701,0.44762717,0
How does a new website protect its design and user interface from copycats?,0.903936167,What is a way to design a beautiful user interface?,0.960782236,0.056846069,0.787080381,0.509110309,0
How can I improve my skills?,0.94046929,How do I improve my learning skills?,0.974857494,0.034388204,0.977055891,0.824408745,0
Is it possible to use SPI between AVR and Raspberry pi?,0.5,What are the uses of Raspberry Pi and Intel Galileo?,0.5,0,0.628809203,0.452580013,0
Which are the best movies of 2016?,0.944436314,What is your best 2016 movie?,0.974386424,0.02995011,0.839645192,1,1
What would be effect of 500 and 1000 Rs notes ban?,0.5,"Why Central Govt banned old 500 and 1000 Rs note, but issued new 500 and 2000 Rs note?",0.062837734,0.437162266,0.738702881,0.683569822,1
What are some of the best photos?,0.969147429,What is a good photo?,0.879444738,0.089702691,0.689125975,0.749704561,0
Why students run away from home?,0.5,Why do people run away from home?,0.17714483,0.32285517,0.94153731,0.842876721,0
"In C++, what are access modifiers?",0.5,What are access modifiers in Java?,0.5,0,0.484937738,0.876965623,0
"Can you analyze history, or is it unscientific?",0.5,"Can poetry be learned? Or is it a “you have it or not"" sort of thing?",0.5,0,0.839451988,0.032830839,0
What are some interesting theories about life after death?,0.876680179,What is the truth about life after death since there are some unconfirmed examples?,0.13559411,0.741086069,0.848026452,0.291850338,0
Do I need to get a tetanus shot again?,0.5,Do I need to get a tetanus shot?,0.5,0,0.965578422,1,0
How light bend with gravity?,0.5,"If gravity bends light, can light bend gravity?",0.5,0,0.935879367,0.99485371,1
What does it mean to hike up your skirt?,0.5,What are some cute ways to cut up a skirt?,0.891939314,0.391939314,0.754996331,0.432473584,0
How many new cars are sold by Maserati in the US each year?,0.5,Has Lotus actually sold any cars in the US over the last 10 year?,0.5,0,0.87207198,0.424035814,0
How do you send a private message to someone you're following on Quora?,0.882728656,How do I send another person a message on Quora?,0.5,0.382728656,0.930139739,0.50284499,1
How do you train a white Pitbull with brown spots?,0.5,How do I train White Pitbulls?,0.5,0,0.758774349,0.742754125,1
What is the difference between a turkey and a chicken?,0.5,"Why does turkey have darker, more flavorful dark meat than chicken?",0.0766512,0.4233488,0.600636213,0.515491292,0
What are some of the most surreal questions asked on Quora?,0.965047047,What is the most surreal question on Quora?,0.942053656,0.022993391,0.915132721,0.919870944,1
What is the difference between IT and computer science engineering?,0.5,What are the differences between computer science and computer engineering?,0.5,0,0.923134648,0.943240132,0
When will the best time for having sex?,0.958290508,What would be the best time to have sex?,0.959140906,0.000850398,0.860985106,0.887397062,1
How can I consult a good free online astrologer?,0.980573194,Are there any good free online astrologers?,0.935152687,0.045420507,0.714378851,0.826014441,1
